accuracy,f1_phishing,precision,recall,noise_level,run,noise_level_num
0.985,0.9862,0.9817,0.9907,clean,1,0
0.985,0.9862,0.9817,0.9907,clean,2,0
0.985,0.9862,0.9817,0.9907,clean,3,0
0.96,0.963,0.963,0.963,noise_5,1,5
0.97,0.9717,0.9904,0.9537,noise_5,2,5
0.97,0.972,0.9811,0.963,noise_5,3,5
0.97,0.9722,0.9722,0.9722,noise_10,1,10
0.905,0.9163,0.8739,0.963,noise_10,2,10
0.955,0.9585,0.9541,0.963,noise_10,3,10
0.935,0.9427,0.8992,0.9907,noise_15,1,15
0.93,0.932,0.9796,0.8889,noise_15,2,15
0.975,0.9767,0.9813,0.9722,noise_15,3,15
0.915,0.9258,0.876,0.9815,noise_20,1,20
0.975,0.977,0.9725,0.9815,noise_20,2,20
0.975,0.9767,0.9813,0.9722,noise_20,3,20
0.92,0.9298,0.8833,0.9815,noise_25,1,25
0.96,0.9633,0.9545,0.9722,noise_25,2,25
0.905,0.914,0.8938,0.9352,noise_25,3,25
0.92,0.9273,0.9107,0.9444,noise_30,1,30
0.92,0.9304,0.877,0.9907,noise_30,2,30
0.865,0.8601,0.9765,0.7685,noise_30,3,30
0.95,0.9558,0.9153,1.0,noise_35,1,35
0.955,0.9585,0.9541,0.963,noise_35,2,35
0.975,0.9767,0.9813,0.9722,noise_35,3,35
0.93,0.9391,0.8852,1.0,noise_40,1,40
0.915,0.9258,0.876,0.9815,noise_40,2,40
0.92,0.9292,0.8898,0.9722,noise_40,3,40
0.92,0.9298,0.8833,0.9815,noise_45,1,45
0.915,0.9238,0.8957,0.9537,noise_45,2,45
0.935,0.939,0.9524,0.9259,noise_45,3,45
0.92,0.9286,0.8966,0.963,noise_50,1,50
0.925,0.9309,0.9266,0.9352,noise_50,2,50
0.92,0.931,0.871,1.0,noise_50,3,50
